gene,RDS_uncorrected,RDS_corrected,abs_corrected,n_loops,n_irreplaceable,predicted_role,actual_role
STAT3,8,8,8,48,8,oncogene,oncogene
CCNE1,7,7,7,8,7,oncogene,oncogene
SMAD7,-6,6,6,9,6,oncogene,
TP53,-6,6,6,6,6,oncogene,TSG
CDK2,11,-5,5,12,11,TSG,oncogene
MAPK1,6,4,4,13,6,oncogene,oncogene
SOCS3,-4,-4,4,31,4,TSG,
MTOR,3,3,3,6,3,oncogene,oncogene
SMAD2,3,-3,3,6,3,TSG,TSG
SMAD3,3,-3,3,6,3,TSG,TSG
BCL2,2,-2,2,4,2,TSG,oncogene
RB1,-2,-2,2,4,2,TSG,TSG
STAT5A,2,2,2,14,2,oncogene,
STAT5B,2,2,2,14,2,oncogene,oncogene
AXIN1,-1,-1,1,1,1,TSG,TSG
BMPR1A,1,-1,1,2,1,TSG,TSG
BMPR1B,1,-1,1,2,1,TSG,
BMPR2,1,-1,1,2,1,TSG,
CDH1,-1,-1,1,1,1,TSG,TSG
CDKN1A,-1,1,1,4,1,oncogene,TSG
CDKN1B,-1,-1,1,6,1,TSG,TSG
CDKN2A,-1,-1,1,2,1,TSG,TSG
CISH,-1,-1,1,5,1,TSG,
CTNNB1,1,1,1,1,1,oncogene,oncogene
E2F1,1,1,1,3,1,oncogene,oncogene
GLI1,1,1,1,1,1,oncogene,oncogene
MDM2,1,-1,1,1,1,TSG,oncogene
SMAD4,1,-1,1,5,1,TSG,TSG
SOCS1,-1,-1,1,9,1,TSG,TSG
SOCS4,-1,-1,1,7,1,TSG,
SOCS5,-1,-1,1,7,1,TSG,
SOCS6,-1,-1,1,7,1,TSG,
SOCS7,-1,-1,1,7,1,TSG,
STAT1,1,1,1,14,1,oncogene,
TGFBR1,1,-1,1,3,1,TSG,TSG
TP73,-1,1,1,1,1,oncogene,
AKT1,0,0,0,1,0,neutral,oncogene
AKT2,0,0,0,1,0,neutral,oncogene
AKT3,0,0,0,1,0,neutral,oncogene
BBC3,0,0,0,1,0,neutral,
BID,0,0,0,1,0,neutral,
CSF1R,0,0,0,2,0,neutral,oncogene
CSNK1E,0,0,0,1,0,neutral,
E2F2,0,0,0,1,0,neutral,
E2F3,0,0,0,1,0,neutral,
FOXO1,0,0,0,2,0,neutral,both
FOXO3,0,0,0,2,0,neutral,TSG
FOXO4,0,0,0,2,0,neutral,oncogene
FOXO6,0,0,0,2,0,neutral,
GLI2,0,0,0,1,0,neutral,oncogene
GLI3,0,0,0,1,0,neutral,TSG
IRS1,0,0,0,3,0,neutral,
IRS2,0,0,0,3,0,neutral,
JAK1,0,0,0,10,0,neutral,oncogene
JAK2,0,0,0,12,0,neutral,oncogene
LEPR,0,0,0,3,0,neutral,
MAPK14,0,0,0,3,0,neutral,
PIK3CA,0,0,0,3,0,neutral,oncogene
PIK3R1,0,0,0,3,0,neutral,TSG
PIK3R3,0,0,0,3,0,neutral,
PMAIP1,0,0,0,1,0,neutral,
PRLR,0,0,0,1,0,neutral,
PTEN,0,0,0,3,0,neutral,TSG
PTK2,0,0,0,3,0,neutral,
RBL1,0,0,0,1,0,neutral,
RBL2,0,0,0,1,0,neutral,
RELA,0,0,0,1,0,neutral,oncogene
SIVA1,0,0,0,1,0,neutral,
SMAD1,0,0,0,1,0,neutral,
SMAD5,0,0,0,1,0,neutral,
STAT2,0,0,0,4,0,neutral,
TFDP1,0,0,0,1,0,neutral,
TNFAIP3,0,0,0,1,0,neutral,TSG
TRAF6,0,0,0,1,0,neutral,
TYK2,0,0,0,10,0,neutral,
YAP1,0,0,0,1,0,neutral,
