gene,RDS,abs_RDS,n_loops,n_irreplaceable,sign,sign_label
CDK2,11,11,12,11,1,rise
STAT3,8,8,48,8,1,rise
CCNE1,7,7,8,7,1,rise
MAPK1,6,6,13,6,1,rise
SMAD7,-6,6,9,6,-1,recovery
TP53,-6,6,6,6,-1,recovery
SOCS3,-4,4,31,4,-1,recovery
MTOR,3,3,6,3,1,rise
SMAD2,3,3,6,3,1,rise
SMAD3,3,3,6,3,1,rise
BCL2,2,2,4,2,1,rise
RB1,-2,2,4,2,-1,recovery
STAT5A,2,2,14,2,1,rise
STAT5B,2,2,14,2,1,rise
AXIN1,-1,1,1,1,-1,recovery
BMPR1A,1,1,2,1,1,rise
BMPR1B,1,1,2,1,1,rise
BMPR2,1,1,2,1,1,rise
CDH1,-1,1,1,1,-1,recovery
CDKN1A,-1,1,4,1,-1,recovery
CDKN1B,-1,1,6,1,-1,recovery
CDKN2A,-1,1,2,1,-1,recovery
CISH,-1,1,5,1,-1,recovery
CTNNB1,1,1,1,1,1,rise
E2F1,1,1,3,1,1,rise
GLI1,1,1,1,1,1,rise
MDM2,1,1,1,1,1,rise
SMAD4,1,1,5,1,1,rise
SOCS1,-1,1,9,1,-1,recovery
SOCS4,-1,1,7,1,-1,recovery
SOCS5,-1,1,7,1,-1,recovery
SOCS6,-1,1,7,1,-1,recovery
SOCS7,-1,1,7,1,-1,recovery
STAT1,1,1,14,1,1,rise
TGFBR1,1,1,3,1,1,rise
TP73,-1,1,1,1,-1,recovery
AKT1,0,0,1,0,1,rise
AKT2,0,0,1,0,1,rise
AKT3,0,0,1,0,1,rise
BBC3,0,0,1,0,-1,recovery
BID,0,0,1,0,-1,recovery
CSF1R,0,0,2,0,1,rise
CSNK1E,0,0,1,0,-1,recovery
E2F2,0,0,1,0,1,rise
E2F3,0,0,1,0,1,rise
FOXO1,0,0,2,0,-1,recovery
FOXO3,0,0,2,0,-1,recovery
FOXO4,0,0,2,0,-1,recovery
FOXO6,0,0,2,0,-1,recovery
GLI2,0,0,1,0,1,rise
GLI3,0,0,1,0,-1,recovery
IRS1,0,0,3,0,1,rise
IRS2,0,0,3,0,1,rise
JAK1,0,0,10,0,1,rise
JAK2,0,0,12,0,1,rise
LEPR,0,0,3,0,1,rise
MAPK14,0,0,3,0,1,rise
PIK3CA,0,0,3,0,1,rise
PIK3R1,0,0,3,0,-1,recovery
PIK3R3,0,0,3,0,1,rise
PMAIP1,0,0,1,0,-1,recovery
PRLR,0,0,1,0,1,rise
PTEN,0,0,3,0,-1,recovery
PTK2,0,0,3,0,1,rise
RBL1,0,0,1,0,-1,recovery
RBL2,0,0,1,0,-1,recovery
RELA,0,0,1,0,1,rise
SIVA1,0,0,1,0,-1,recovery
SMAD1,0,0,1,0,1,rise
SMAD5,0,0,1,0,1,rise
STAT2,0,0,4,0,1,rise
TFDP1,0,0,1,0,1,rise
TNFAIP3,0,0,1,0,-1,recovery
TRAF6,0,0,1,0,1,rise
TYK2,0,0,10,0,1,rise
YAP1,0,0,1,0,1,rise
