Motif Genes (HGNC),Length,N Inhibitory Edges,N Pathways,N Variants
SOCS3|STAT1,2,1,3,2
SOCS3|STAT3,2,1,5,5
SOCS3|STAT5A,2,1,3,1
SOCS3|STAT5B,2,1,3,1
SMAD7|SMAD2,2,1,2,1
SMAD7|SMAD3,2,1,2,2
MDM2|TP53,2,1,5,2
CTNNB1|CDH1,2,1,3,1
STAT3|CISH,2,1,2,2
STAT3|SOCS4,2,1,2,2
STAT3|SOCS7,2,1,2,2
STAT3|SOCS1,2,1,3,2
STAT3|SOCS6,2,1,2,2
STAT3|SOCS5,2,1,2,2
CDK2|CDKN1B,2,1,3,1
CDK2|CDKN2A,2,1,1,1
TP53|TP73,2,1,2,1
E2F1|CCNE1|RB1,3,1,3,4
E2F1|CCNE1|RBL1,3,1,2,2
E2F1|CCNE1|RBL2,3,1,2,2
RB1|TFDP1|CCNE1,3,1,3,2
RB1|E2F2|CCNE1,3,1,3,2
RB1|E2F3|CCNE1,3,1,3,2
RELA|TNFAIP3|TRAF6,3,1,2,1
SOCS3|JAK1|STAT1,3,1,6,4
SOCS3|JAK1|STAT2,3,1,5,2
SOCS3|JAK1|STAT3,3,1,7,6
SOCS3|JAK1|STAT5A,3,1,4,2
SOCS3|JAK1|STAT5B,3,1,4,2
SOCS3|TYK2|STAT1,3,1,4,2
SOCS3|TYK2|STAT2,3,1,3,1
SOCS3|TYK2|STAT3,3,1,7,3
SOCS3|TYK2|STAT5B,3,1,4,1
SOCS3|TYK2|STAT5A,3,1,3,1
SOCS3|JAK2|STAT1,3,1,7,2
SOCS3|JAK2|STAT2,3,1,5,1
SOCS3|JAK2|STAT3,3,1,10,3
SOCS3|JAK2|STAT5B,3,1,8,1
SOCS3|JAK2|STAT5A,3,1,7,1
SOCS3|JAK2|MAPK1,3,1,5,3
SOCS3|CSF1R|MAPK1,3,1,3,3
SOCS3|STAT1|STAT2,3,1,3,1
SOCS3|STAT1|STAT3,3,1,5,4
SOCS3|STAT1|STAT5A,3,1,3,2
SOCS3|STAT1|STAT5B,3,1,3,2
SOCS3|STAT3|STAT5A,3,1,3,2
SOCS3|STAT3|STAT5B,3,1,3,2
SOCS3|STAT5A|STAT5B,3,1,3,1
SOCS3|LEPR|STAT3,3,1,4,1
SOCS3|LEPR|STAT5A,3,1,3,1
SOCS3|LEPR|STAT5B,3,1,3,1
SMAD7|SMAD2|SMAD4,3,1,5,1
SMAD7|SMAD3|SMAD4,3,1,5,1
SMAD7|SMAD1|SMAD4,3,1,4,1
SMAD7|SMAD5|SMAD4,3,1,4,2
SMAD7|TGFBR1|SMAD3,3,1,9,2
SMAD7|TGFBR1|SMAD2,3,1,8,2
SMAD7|TGFBR1|SMAD4,3,1,3,2
MTOR|IRS1|PIK3R3,3,1,17,4
MTOR|IRS1|PIK3CA,3,1,17,8
MTOR|IRS1|PIK3R1,3,1,17,2
MTOR|IRS2|PIK3R3,3,1,14,2
MTOR|IRS2|PIK3CA,3,1,14,4
MTOR|IRS2|PIK3R1,3,1,14,1
MAPK1|MAPK14|AKT3,3,1,3,4
MAPK1|MAPK14|AKT1,3,1,3,4
MAPK1|MAPK14|AKT2,3,1,3,4
MAPK1|SMAD2|BMPR1A,3,1,4,1
MAPK1|SMAD2|BMPR1B,3,1,4,1
MAPK1|SMAD2|BMPR2,3,1,4,1
MAPK1|SMAD3|BMPR1A,3,1,4,2
MAPK1|SMAD3|BMPR1B,3,1,4,2
MAPK1|SMAD3|BMPR2,3,1,4,2
MAPK1|SOCS1|JAK2,3,1,4,1
MAPK1|SOCS1|CSF1R,3,1,3,1
PIK3CA|PTEN|PTK2,3,1,4,4
STAT3|STAT1|CISH,3,1,2,2
STAT3|STAT1|SOCS4,3,1,2,2
STAT3|STAT1|SOCS7,3,1,2,2
STAT3|STAT1|SOCS1,3,1,3,2
STAT3|STAT1|SOCS6,3,1,2,2
STAT3|STAT1|SOCS5,3,1,2,2
STAT3|STAT5A|CISH,3,1,2,1
STAT3|STAT5A|SOCS4,3,1,2,1
STAT3|STAT5A|SOCS7,3,1,2,1
STAT3|STAT5A|SOCS1,3,1,3,1
STAT3|STAT5A|SOCS6,3,1,2,1
STAT3|STAT5A|SOCS5,3,1,2,1
STAT3|STAT5B|CISH,3,1,2,1
STAT3|STAT5B|SOCS4,3,1,2,1
STAT3|STAT5B|SOCS7,3,1,2,1
STAT3|STAT5B|SOCS1,3,1,3,1
STAT3|STAT5B|SOCS6,3,1,2,1
STAT3|STAT5B|SOCS5,3,1,2,1
STAT3|CISH|PRLR,3,1,2,1
STAT3|SOCS4|JAK1,3,1,3,2
STAT3|SOCS4|TYK2,3,1,4,1
STAT3|SOCS4|JAK2,3,1,9,1
STAT3|SOCS7|JAK1,3,1,3,2
STAT3|SOCS7|TYK2,3,1,4,1
STAT3|SOCS7|JAK2,3,1,9,1
STAT3|SOCS1|JAK1,3,1,5,2
STAT3|SOCS1|TYK2,3,1,5,1
STAT3|SOCS1|JAK2,3,1,9,1
STAT3|SOCS6|JAK1,3,1,3,2
STAT3|SOCS6|TYK2,3,1,4,1
STAT3|SOCS6|JAK2,3,1,9,1
STAT3|SOCS5|JAK1,3,1,3,2
STAT3|SOCS5|TYK2,3,1,4,1
STAT3|SOCS5|JAK2,3,1,9,1
CDKN1A|CDK2|FOXO6,3,1,6,1
CDKN1A|CDK2|FOXO1,3,1,6,1
CDKN1A|CDK2|FOXO3,3,1,6,1
CDKN1A|CDK2|FOXO4,3,1,6,1
CDK2|FOXO6|CDKN1B,3,1,4,1
CDK2|FOXO1|CDKN1B,3,1,4,1
CDK2|FOXO3|CDKN1B,3,1,4,1
CDK2|FOXO4|CDKN1B,3,1,4,1
CDK2|CCNE1|CDKN1B,3,1,4,2
CDK2|CCNE1|CDKN2A,3,1,2,2
PTEN|PTK2|PIK3R3,3,1,4,2
PTEN|PTK2|PIK3R1,3,1,4,1
GLI1|GLI2|GLI3,3,3,2,1
TP53|PMAIP1|BCL2,3,1,4,1
TP53|SIVA1|BCL2,3,1,2,1
TP53|BID|BCL2,3,1,3,1
TP53|BBC3|BCL2,3,1,3,1
YAP1|AXIN1|CSNK1E,3,1,2,4
