Module ID,Pathway Label,N Motifs,N Genes,N CGC,All Genes,Representative Genes
1,JAK-STAT/SOCS,26,10,4,JAK1|JAK2|LEPR|SOCS3|STAT1|STAT2|STAT3|STAT5A|STAT5B|TYK2,SOCS3|JAK2|STAT3
2,JAK-STAT/SOCS,7,8,4,JAK1|JAK2|SOCS4|STAT1|STAT3|STAT5A|STAT5B|TYK2,STAT3|SOCS4|JAK2
3,JAK-STAT/SOCS,7,8,4,JAK1|JAK2|SOCS7|STAT1|STAT3|STAT5A|STAT5B|TYK2,STAT3|SOCS7|JAK2
4,JAK-STAT/SOCS,7,8,5,JAK1|JAK2|SOCS1|STAT1|STAT3|STAT5A|STAT5B|TYK2,STAT3|SOCS1|JAK2
5,JAK-STAT/SOCS,7,8,4,JAK1|JAK2|SOCS6|STAT1|STAT3|STAT5A|STAT5B|TYK2,STAT3|SOCS6|JAK2
6,JAK-STAT/SOCS,7,8,4,JAK1|JAK2|SOCS5|STAT1|STAT3|STAT5A|STAT5B|TYK2,STAT3|SOCS5|JAK2
7,Cell Cycle/CDK,6,7,5,CCNE1|CDK2|CDKN1B|FOXO1|FOXO3|FOXO4|FOXO6,CDK2|FOXO6|CDKN1B
8,JAK-STAT/SOCS,5,6,2,CISH|PRLR|STAT1|STAT3|STAT5A|STAT5B,STAT3|CISH
9,TGF-β/SMAD,3,4,2,SMAD2|SMAD4|SMAD7|TGFBR1,SMAD7|TGFBR1|SMAD2
10,TGF-β/SMAD,3,4,3,SMAD3|SMAD4|SMAD7|TGFBR1,SMAD7|TGFBR1|SMAD3
11,Cell Cycle/CDK,2,3,3,CCNE1|CDK2|CDKN2A,CDK2|CCNE1|CDKN2A
12,p53/MDM2,1,2,2,MDM2|TP53,MDM2|TP53
13,Wnt/β-catenin,1,2,1,CDH1|CTNNB1,CTNNB1|CDH1
14,p53/MDM2,1,2,1,TP53|TP73,TP53|TP73
15,Rb/E2F,1,3,3,CCNE1|E2F1|RB1,E2F1|CCNE1|RB1
16,Rb/E2F,1,3,2,CCNE1|E2F1|RBL1,E2F1|CCNE1|RBL1
17,Rb/E2F,1,3,2,CCNE1|E2F1|RBL2,E2F1|CCNE1|RBL2
18,Rb/E2F,1,3,2,CCNE1|RB1|TFDP1,RB1|TFDP1|CCNE1
19,Rb/E2F,1,3,2,CCNE1|E2F2|RB1,RB1|E2F2|CCNE1
20,Rb/E2F,1,3,2,CCNE1|E2F3|RB1,RB1|E2F3|CCNE1
21,NF-κB,1,3,2,RELA|TNFAIP3|TRAF6,RELA|TNFAIP3|TRAF6
22,JAK-STAT/SOCS,1,3,1,JAK1|SOCS3|STAT2,SOCS3|JAK1|STAT2
23,JAK-STAT/SOCS,1,3,0,SOCS3|STAT2|TYK2,SOCS3|TYK2|STAT2
24,JAK-STAT/SOCS,1,3,1,JAK2|SOCS3|STAT2,SOCS3|JAK2|STAT2
25,JAK-STAT/SOCS,1,3,2,JAK2|MAPK1|SOCS3,SOCS3|JAK2|MAPK1
26,JAK-STAT/SOCS,1,3,2,CSF1R|MAPK1|SOCS3,SOCS3|CSF1R|MAPK1
27,TGF-β/SMAD,1,3,1,SMAD1|SMAD4|SMAD7,SMAD7|SMAD1|SMAD4
28,TGF-β/SMAD,1,3,1,SMAD4|SMAD5|SMAD7,SMAD7|SMAD5|SMAD4
29,TGF-β/SMAD,1,3,2,SMAD4|SMAD7|TGFBR1,SMAD7|TGFBR1|SMAD4
30,mTOR/IRS,1,3,1,IRS1|MTOR|PIK3R3,MTOR|IRS1|PIK3R3
31,mTOR/IRS,1,3,2,IRS1|MTOR|PIK3CA,MTOR|IRS1|PIK3CA
32,mTOR/IRS,1,3,1,IRS1|MTOR|PIK3R1,MTOR|IRS1|PIK3R1
33,mTOR/IRS,1,3,1,IRS2|MTOR|PIK3R3,MTOR|IRS2|PIK3R3
34,mTOR/IRS,1,3,2,IRS2|MTOR|PIK3CA,MTOR|IRS2|PIK3CA
35,mTOR/IRS,1,3,1,IRS2|MTOR|PIK3R1,MTOR|IRS2|PIK3R1
36,MAPK/ERK,1,3,1,AKT3|MAPK1|MAPK14,MAPK1|MAPK14|AKT3
37,MAPK/ERK,1,3,2,AKT1|MAPK1|MAPK14,MAPK1|MAPK14|AKT1
38,MAPK/ERK,1,3,2,AKT2|MAPK1|MAPK14,MAPK1|MAPK14|AKT2
39,BMP/SMAD,1,3,2,BMPR1A|MAPK1|SMAD2,MAPK1|SMAD2|BMPR1A
40,BMP/SMAD,1,3,1,BMPR1B|MAPK1|SMAD2,MAPK1|SMAD2|BMPR1B
41,BMP/SMAD,1,3,1,BMPR2|MAPK1|SMAD2,MAPK1|SMAD2|BMPR2
42,BMP/SMAD,1,3,3,BMPR1A|MAPK1|SMAD3,MAPK1|SMAD3|BMPR1A
43,BMP/SMAD,1,3,2,BMPR1B|MAPK1|SMAD3,MAPK1|SMAD3|BMPR1B
44,BMP/SMAD,1,3,2,BMPR2|MAPK1|SMAD3,MAPK1|SMAD3|BMPR2
45,JAK-STAT/SOCS,1,3,3,JAK2|MAPK1|SOCS1,MAPK1|SOCS1|JAK2
46,JAK-STAT/SOCS,1,3,3,CSF1R|MAPK1|SOCS1,MAPK1|SOCS1|CSF1R
47,PI3K/PTEN,1,3,2,PIK3CA|PTEN|PTK2,PIK3CA|PTEN|PTK2
48,Cell Cycle/CDK,1,3,2,CDK2|CDKN1A|FOXO6,CDKN1A|CDK2|FOXO6
49,Cell Cycle/CDK,1,3,3,CDK2|CDKN1A|FOXO1,CDKN1A|CDK2|FOXO1
50,Cell Cycle/CDK,1,3,3,CDK2|CDKN1A|FOXO3,CDKN1A|CDK2|FOXO3
51,Cell Cycle/CDK,1,3,2,CDK2|CDKN1A|FOXO4,CDKN1A|CDK2|FOXO4
52,PI3K/PTEN,1,3,1,PIK3R3|PTEN|PTK2,PTEN|PTK2|PIK3R3
53,PI3K/PTEN,1,3,1,PIK3R1|PTEN|PTK2,PTEN|PTK2|PIK3R1
54,Hedgehog/GLI,1,3,3,GLI1|GLI2|GLI3,GLI1|GLI2|GLI3
55,p53/Apoptosis,1,3,2,BCL2|PMAIP1|TP53,TP53|PMAIP1|BCL2
56,p53/Apoptosis,1,3,2,BCL2|SIVA1|TP53,TP53|SIVA1|BCL2
57,p53/Apoptosis,1,3,3,BCL2|BID|TP53,TP53|BID|BCL2
58,p53/Apoptosis,1,3,2,BBC3|BCL2|TP53,TP53|BBC3|BCL2
59,Hippo/YAP,1,3,2,AXIN1|CSNK1E|YAP1,YAP1|AXIN1|CSNK1E
